"Timestamp","Close","EMA(2)","RSI(2)"
"1365752460","80.01",""
"1365752520","82",""
"1365752640","83.48","82.65"
"1365752700","83.48","83.20"
"1365752760","84","83.73"
"1365752820","84.4","84.18"
"1365752880","83","83.39"
"1365753000","84","83.80"
"1365753060","83","83.27"
"1365753120","83","83.09"
"1365753180","84.4","83.96"
"1365753240","83.91","83.93"
"1365753300","83.92","83.92"
"1365753360","84.4","84.24"
"1365753420","92.84","89.97"
"1365753480","84.4","86.26"
"1365753540","84.4","85.02"
"1365753600","83.92","84.29"
"1365753660","83.92","84.04"
"1365753720","83.92","83.96"
"1365753780","83.92","83.93"
"1365753840","83.92","83.92"
"1365753900","83.92","83.92"
"1365754020","83.92","83.92"
"1365754080","84.3","84.17"
"1365754140","84.4","84.32"
"1365754260","84.4","84.37"
"1365754320","84.4","84.39"
"1365754380","84.4","84.40"
"1365754440","84.3","84.33"
"1365754500","84.5","84.44"
"1365754560","84.4","84.41"
"1365754620","84.95","84.77"
"1365754680","84.95","84.89"
"1365754740","84.99","84.96"
"1365754800","84.99","84.98"
"1365754860","84.9","84.93"
"1365754980","84.9","84.91"
"1365755040","84.8","84.84"
"1365755100","84.7","84.75"
"1365755160","84.5","84.58"
"1365755220","84.4","84.46"
"1365755280","84.35","84.39"
"1365755340","84.2","84.26"
"1365755400","83","83.42"
"1365755460","83","83.14"
"1365755520","83","83.05"
"1365755580","82.3","82.55"
"1365755700","83","82.85"
"1365755760","83.01","82.96"
"1365755940","84.11","83.73"
"1365756000","84.49","84.24"
"1365756060","84.49","84.41"
"1365756120","84.8","84.67"
"1365756180","84.8","84.76"
"1365756240","84.5","84.59"
"1365756300","84.49","84.52"
"1365756360","84.49","84.50"
"1365756420","84.2","84.30"
"1365756480","84.49","84.43"
"1365756540","84.92","84.76"
"1365756600","84.9","84.85"
"1365756660","84.2","84.42"
"1365756720","84.95","84.77"
"1365756780","84","84.26"
"1365756840","84","84.09"
"1365756900","84","84.03"
"1365756960","84.92","84.62"
"1365757020","84.97","84.85"
"1365757080","84.97","84.93"
"1365757140","84.98","84.96"
"1365757200","84.98","84.97"
"1365757260","84.99","84.98"
"1365757320","84.98","84.98"
"1365757380","84.99","84.99"
"1365757440","84.99","84.99"
"1365757500","84.99","84.99"
"1365757560","84.99","84.99"
"1365757620","84.98","84.98"
"1365757680","83","83.66"
"1365757740","84.98","84.54"
"1365757800","85.5","85.18"
"1365757860","86.8","86.26"
"1365757920","86.9","86.69"
"1365757980","86.8","86.76"
"1365758040","86.89","86.85"
"1365758100","86.89","86.88"
"1365758160","86.89","86.89"
"1365758220","86.89","86.89"
"1365758280","86.89","86.89"
"1365758340","86.89","86.89"
"1365758400","86.88","86.88"
"1365758520","85.5","85.96"
"1365758580","85.5","85.65"
"1365758640","85.5","85.55"
"1365758700","85.01","85.19"
"1365758760","85.5","85.40"
"1365758820","85.5","85.47"
"1365758880","85.5","85.49"
"1365758940","85.5","85.50"
"1365759000","86","85.83"
"1365759060","86.9","86.54"
"1365759120","87","86.85"
"1365759180","87.3","87.15"
"1365759240","87.4","87.32"
"1365759300","87.39","87.37"
"1365759360","87.3","87.32"
"1365759420","87.35","87.34"
"1365759480","87.39","87.37"
"1365759540","87.39","87.38"
"1365759600","87.4","87.39"
"1365759660","87.4","87.40"
"1365759720","87.89","87.73"
"1365759780","87.6","87.64"
"1365759840","87.6","87.61"
"1365759900","87.6","87.60"
"1365759960","87.9","87.80"
"1365760020","87.9","87.87"
"1365760080","87.89","87.88"
"1365760140","87","87.29"
"1365760200","89.1","88.50"
"1365760260","91.97","90.81"
"1365760320","91.96","91.58"
"1365760380","90","90.53"
"1365760440","88","88.84"
"1365760500","88.89","88.87"
"1365760560","88.88","88.88"
"1365760620","85.08","86.35"
"1365760680","85.08","85.50"
"1365760740","85","85.17"
"1365760800","83.9","84.32"
"1365760860","85","84.77"
"1365760920","86","85.59"
"1365760980","84","84.53"
"1365761040","83.9","84.11"
"1365761100","83.9","83.97"
"1365761160","83","83.32"
"1365761220","82.9","83.04"
"1365761280","82.5","82.68"
"1365761340","82.05","82.26"
"1365761400","82.05","82.12"
"1365761460","82.99","82.70"
"1365761520","80.05","80.93"
"1365761580","79","79.64"
"1365761640","77","77.88"
"1365761700","77","77.29"
"1365761760","76.31","76.64"
"1365761820","75.01","75.55"
"1365761880","75.02","75.20"
"1365761940","75","75.07"
"1365762000","73.58","74.08"
"1365762060","72.26","72.87"
"1365762120","73.58","73.34"
"1365762180","73.58","73.50"
"1365762240","74.5","74.17"
"1365762300","75","74.72"
