Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1365752460,82,82,"80,01","80,01","12,27392997","992,86824055","80,892447894"
1365752520,82,82,82,82,"3,96548781","325,17000042",82
1365752580,"83,4","83,48","83,4","83,48","7,48988388","625,0610336","83,454035285"
1365752640,"83,47","83,48","83,47","83,48","51,78941064","4323,3600002","83,479613821"
1365752700,"83,48","83,48","83,48","83,48","32,12089459","2681,4522804","83,48"
1365752760,84,85,84,84,"9,28399094","784,55023896","84,50570924"
1365752820,"84,4","84,4","84,4","84,4","20,1157963","1697,7732077","84,4"
1365752880,"83,48","83,48",83,83,"1,8913945","157,76696538","83,413040156"
1365752940,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365753000,83,84,83,84,"0,8005",66992,"83,687695191"
1365753060,84,"84,4",83,83,"14,25","1192,385872","83,676201544"
1365753120,83,83,83,83,"2,69","223,27",83
1365753180,"83,9","84,4","83,9","84,4","43,10789405","3632,8615525","84,273695864"
1365753240,"84,4","84,4","83,91","83,91","5,35266198","451,74752111","84,396795987"
1365753300,"84,4","84,4","83,92","83,92","8,22665242","694,08946425","84,37082653"
1365753360,"83,92","84,4","83,92","84,4","1,24372399","104,47184684","83,999221436"
1365753420,"92,84","92,84","92,84","92,84","0,03885","3,606834","92,84"
1365753480,"83,9","84,4","83,9","84,4","50,20563","4212,4784148","83,904502639"
1365753540,"84,4","84,4","83,92","84,4","15,0205244","1266,927424","84,346417628"
1365753600,"83,92","83,92","83,92","83,92","11,81823328","991,78613686","83,92"
1365753660,"83,92","83,92","83,92","83,92","0,01301","1,0917992","83,92"
1365753720,"83,92","83,92","83,92","83,92","15,87856153","1332,5288836","83,92"
1365753780,"83,92","83,92","83,92","83,92","4,5780794","384,19242325","83,92"
1365753840,"83,92","83,92","83,92","83,92","1,11389961","93,478455271","83,92"
1365753900,"84,3","84,3","83,92","83,92","93,08815166","7811,9911849","83,920359848"
1365753960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365754020,"83,92","83,92","83,92","83,92",109,"9147,28","83,92"
1365754080,"84,3","84,3","83,93","84,3","2,77999073","234,29324949","84,278428328"
1365754140,"84,4","84,4","84,4","84,4","1,78957346","151,04000002","84,4"
1365754200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365754260,"84,4","84,4","84,4","84,4","0,05924171","5,000000324","84,4"
1365754320,"84,4","84,4","84,4","84,4","1,17985782","99,580000008","84,4"
1365754380,"83,93","84,4","83,92","84,4","31,96644867","2685,4792864","84,009309701"
1365754440,"84,3","84,3","84,3","84,3","0,7094007","59,80247901","84,3"
1365754500,"84,4","84,5","84,4","84,5","52,06938289","4394,7918449","84,402610536"
1365754560,"84,4","84,99","84,4","84,4","26,66940016","2260,0104056","84,741703678"
1365754620,"84,95","84,99","84,95","84,95","8,39360984","713,04758066","84,951241987"
1365754680,"84,99","84,99","84,4","84,95","201,25","16988,202605","84,413429092"
1365754740,"84,99","84,99","84,99","84,99",25,"2124,75","84,99"
1365754800,"84,99","84,99","84,99","84,99","0,64666431","54,959999707","84,99"
1365754860,"84,9","84,9","84,9","84,9",1,"84,9","84,9"
1365754920,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365754980,"84,9","84,9","84,9","84,9","0,07612","6,462588","84,9"
